Sample	äwê∂é¿å±3TM_NH3	
Comments	 	
Filename	C:\Users\User1\Desktop\DATA\äwê∂é¿å±3TM\äwê∂é¿å±3TM_NH3_2É∆_É∆.raw	
Goniometer	MiniFlex 300/600 +	
Attachment	âÒì]ééóøë‰	
Monochromater	None	
X	0	
Y	0	
Z	0	
ScanningMode	2Theta/Theta	
ScanningType	Continuos Scanning	
X-Ray	40kV/15mA	
IHS	5.0mm	
DS	1.250deg	
SS	13.0mm(Open)	
RS	13.0mm(Open)	
K-beta(x1)		
Start	20	
Stop	80	
Step	0.01	
Speed	1	
Offset	0	10539
22.42	838	267.9514185
22.43	852	268.0842585
22.44	849	268.0557928
22.45	843	267.9988614
22.46	839	267.9609071
22.47	828	267.8565329
22.48	826	267.8375557
22.49	836	267.9324414
22.5	833	267.9039757
22.51	807	267.657273
22.52	827	267.8470443
22.53	838	267.9514185
22.54	824	267.8185786
22.55	847	268.0368156
22.56	854	268.1032356
22.57	798	267.5718759
22.58	782	267.4200588
22.59	816	267.7426701
22.6	838	267.9514185
22.61	850	268.0652813
22.62	856	268.1222127
22.63	872	268.2740298
22.64	866	268.2170984
22.65	842	267.9893728
22.66	856	268.1222127
22.67	841	267.9798842
22.68	842	267.9893728
22.69	827	267.8470443
22.7	826	267.8375557
22.71	795	267.5434102
22.72	828	267.8565329
22.73	829	267.8660214
22.74	811	267.6952273
22.75	851	268.0747699
22.76	854	268.1032356
22.77	840	267.9703957
22.78	868	268.2360755
22.79	870	268.2550527
22.8	853	268.093747
22.81	837	267.94193
22.82	839	267.9609071
22.83	839	267.9609071
22.84	822	267.7996015
22.85	853	268.093747
22.86	847	268.0368156
22.87	835	267.9229528
22.88	821	267.7901129
22.89	812	267.7047158
22.9	802	267.6098302
22.91	808	267.6667616
22.92	827	267.8470443
22.93	838	267.9514185
22.94	840	267.9703957
22.95	838	267.9514185
22.96	846	268.0273271
22.97	843	267.9988614
22.98	820	267.7806243
22.99	839	267.9609071
23	859	268.1506784
23.01	839	267.9609071
23.02	824	267.8185786
23.03	836	267.9324414
23.04	841	267.9798842
23.05	828	267.8565329
23.06	826	267.8375557
23.07	842	267.9893728
23.08	841	267.9798842
23.09	842	267.9893728
23.1	844	268.0083499
23.11	832	267.8944871
23.12	805	267.6382959
23.13	835	267.9229528
23.14	813	267.7142044
23.15	859	268.1506784
23.16	868	268.2360755
23.17	844	268.0083499
23.18	823	267.80909
23.19	813	267.7142044
23.2	833	267.9039757
23.21	849	268.0557928
23.22	841	267.9798842
23.23	836	267.9324414
23.24	829	267.8660214
23.25	851	268.0747699
23.26	855	268.1127242
23.27	846	268.0273271
23.28	809	267.6762501
23.29	843	267.9988614
23.3	866	268.2170984
23.31	835	267.9229528
23.32	849	268.0557928
23.33	826	267.8375557
23.34	818	267.7616472
23.35	859	268.1506784
23.36	842	267.9893728
23.37	852	268.0842585
23.38	840	267.9703957
23.39	818	267.7616472
23.4	852	268.0842585
23.41	838	267.9514185
23.42	831	267.8849986
23.43	829	267.8660214
23.44	881	268.3594269
23.45	876	268.3119841
23.46	866	268.2170984
23.47	844	268.0083499
23.48	823	267.80909
23.49	861	268.1696556
23.5	855	268.1127242
23.51	827	267.8470443
23.52	812	267.7047158
23.53	811	267.6952273
23.54	853	268.093747
23.55	853	268.093747
23.56	841	267.9798842
23.57	875	268.3024955
23.58	850	268.0652813
23.59	801	267.6003416
23.6	820	267.7806243
23.61	843	267.9988614
23.62	846	268.0273271
23.63	861	268.1696556
23.64	861	268.1696556
23.65	833	267.9039757
23.66	844	268.0083499
23.67	883	268.378404
23.68	875	268.3024955
23.69	849	268.0557928
23.7	851	268.0747699
23.71	862	268.1791441
23.72	866	268.2170984
23.73	870	268.2550527
23.74	850	268.0652813
23.75	855	268.1127242
23.76	882	268.3689155
23.77	881	268.3594269
23.78	840	267.9703957
23.79	829	267.8660214
23.8	835	267.9229528
23.81	816	267.7426701
23.82	807	267.657273
23.83	872	268.2740298
23.84	863	268.1886327
23.85	846	268.0273271
23.86	869	268.2455641
23.87	859	268.1506784
23.88	846	268.0273271
23.89	870	268.2550527
23.9	865	268.2076098
23.91	871	268.2645412
23.92	870	268.2550527
23.93	894	268.4827783
23.94	893	268.4732897
23.95	876	268.3119841
23.96	874	268.2930069
23.97	921	268.7389695
23.98	920	268.729481
23.99	862	268.1791441
24	873	268.2835184
24.01	872	268.2740298
24.02	896	268.5017554
24.03	945	268.9666951
24.04	999	269.4790777
24.05	1012	269.6024291
24.06	1089	270.3330487
24.07	1113	270.5607743
24.08	1198	271.3673024
24.09	1368	272.9803587
24.1	1588	275.0678432
24.11	1903	278.0567416
24.12	2343	282.2317108
24.13	2739	285.989183
24.14	3095	289.3671126
24.15	3178	290.1546636
24.16	2969	288.1715533
24.17	2653	285.1731663
24.18	2388	282.6586963
24.19	2272	281.5580226
24.2	2243	281.2828542
24.21	2041	279.3661638
24.22	1879	277.829016
24.23	1625	275.4189202
