1 _ 1,,,,,,,,,,
時間,試験力,ストローク,変位計1,変位計2,応力,ストローク(ひずみ),変位,変位(ひずみ),変位計1(ひずみ),変位計2(ひずみ)
sec,N,mm,mm,mm,N/mm2,%,mm,%,%,%
0.47,7.0605,0.003908333,-0.003970964,0.005046928,1.4121,0.003908333,-0.003970964,-0.007941928,-0.007941928,0.01009386
0.48,7.264,0.003991667,-0.004081308,0.005186876,1.4528,0.003991667,-0.004081308,-0.008162616,-0.008162616,0.01037375
0.49,7.472,0.004075,-0.004191376,0.00532638,1.4944,0.004075,-0.004191376,-0.008382753,-0.008382753,0.01065276
0.5,7.6865,0.004158333,-0.004301092,0.00546552,1.5373,0.004158333,-0.004301092,-0.008602184,-0.008602184,0.01093104
0.51,7.9055,0.004241667,-0.004410416,0.005604272,1.5811,0.004241667,-0.004410416,-0.008820832,-0.008820832,0.01120854
0.52,8.127,0.004316667,-0.004519264,0.00574262,1.6254,0.004316667,-0.004519264,-0.009038528,-0.009038528,0.01148524
0.53,8.3495,0.0044,-0.004627636,0.005880548,1.6699,0.0044,-0.004627636,-0.009255272,-0.009255272,0.0117611
0.54,8.572001,0.004491667,-0.00473544,0.006017884,1.7144,0.004491667,-0.00473544,-0.00947088,-0.00947088,0.01203577
0.55,8.793,0.004575,-0.00484268,0.006154516,1.7586,0.004575,-0.00484268,-0.00968536,-0.00968536,0.01230903
0.56,9.011001,0.004658333,-0.004949372,0.006290528,1.8022,0.004658333,-0.004949372,-0.009898745,-0.009898745,0.01258106
0.57,9.227,0.004741667,-0.005055544,0.00642598,1.8454,0.004741667,-0.005055544,-0.01011109,-0.01011109,0.01285196
0.58,9.441999,0.004825,-0.005161136,0.006560976,1.8884,0.004825,-0.005161136,-0.01032227,-0.01032227,0.01312195
0.59,9.656,0.004908334,-0.00526616,0.006695612,1.9312,0.004908334,-0.00526616,-0.01053232,-0.01053232,0.01339122
0.6,9.868,0.004983333,-0.0053707,0.006830028,1.9736,0.004983333,-0.0053707,-0.0107414,-0.0107414,0.01366006
0.61,10.076,0.005075,-0.005474832,0.006964396,2.0152,0.005075,-0.005474832,-0.01094966,-0.01094966,0.01392879
0.62,10.281,0.005158334,-0.005578488,0.007098876,2.0562,0.005158334,-0.005578488,-0.01115698,-0.01115698,0.01419775
0.63,10.4835,0.005241667,-0.005681756,0.007233448,2.0967,0.005241667,-0.005681756,-0.01136351,-0.01136351,0.0144669
0.64,10.686,0.005325,-0.005784688,0.007367972,2.1372,0.005325,-0.005784688,-0.01156938,-0.01156938,0.01473594
0.65,10.8935,0.0054,-0.005887388,0.007502312,2.1787,0.0054,-0.005887388,-0.01177478,-0.01177478,0.01500462
