1 _ 1,,,,,,,,,,
時間,試験力,ストローク,変位計1,変位計2,応力,ストローク(ひずみ),変位,変位(ひずみ),変位計1(ひずみ),変位計2(ひずみ)
sec,N,mm,mm,mm,N/mm2,%,mm,%,%,%
0.46,5.169,0.003808333,0.000177508,3.90E-05,1.0338,0.003808333,0.000177508,0.000355016,0.000355016,7.80E-05
0.47,5.5275,0.003883333,0.000189732,4.15E-05,1.1055,0.003883333,0.000189732,0.000379464,0.000379464,8.29E-05
0.48,5.881,0.003975,0.00020184,4.41E-05,1.1762,0.003975,0.00020184,0.00040368,0.00040368,8.83E-05
0.49,6.233,0.004058334,0.000213876,4.70E-05,1.2466,0.004058334,0.000213876,0.000427752,0.000427752,9.40E-05
0.5,6.586,0.004141667,0.000225988,5.00E-05,1.3172,0.004141667,0.000225988,0.000451976,0.000451976,1.00E-04
0.51,6.943,0.004225,0.000238316,5.31E-05,1.3886,0.004225,0.000238316,0.000476632,0.000476632,0.000106216
0.52,7.3045,0.004308333,0.000250948,5.64E-05,1.4609,0.004308333,0.000250948,0.000501896,0.000501896,0.000112824
0.53,7.6705,0.004391667,0.000263908,6.00E-05,1.5341,0.004391667,0.000263908,0.000527816,0.000527816,0.000119992
0.54,8.041,0.004475,0.00027712,6.39E-05,1.6082,0.004475,0.00027712,0.00055424,0.00055424,0.000127848
0.55,8.415,0.004558333,0.000290416,6.81E-05,1.683,0.004558333,0.000290416,0.000580832,0.000580832,0.000136144
0.56,8.7895,0.004641667,0.000303816,7.23E-05,1.7579,0.004641667,0.000303816,0.000607632,0.000607632,0.000144616
0.57,9.164,0.004725,0.00031728,7.64E-05,1.8328,0.004725,0.00031728,0.00063456,0.00063456,0.000152856
0.58,9.5405,0.004808333,0.000330728,8.03E-05,1.9081,0.004808333,0.000330728,0.000661456,0.000661456,0.000160584
0.59,9.9205,0.004891667,0.000344024,8.38E-05,1.9841,0.004891667,0.000344024,0.000688048,0.000688048,0.000167632
0.6,10.3055,0.004975,0.000357096,8.71E-05,2.0611,0.004975,0.000357096,0.000714192,0.000714192,0.00017416
0.61,10.6955,0.005058333,0.00036986,9.02E-05,2.1391,0.005058333,0.00036986,0.00073972,0.00073972,0.00018036
0.62,11.0865,0.005141667,0.000382436,9.33E-05,2.2173,0.005141667,0.000382436,0.000764872,0.000764872,0.000186528
0.63,11.4755,0.005233333,0.000394932,9.64E-05,2.2951,0.005233333,0.000394932,0.000789864,0.000789864,0.000192824
0.64,11.8575,0.005308333,0.00040752,9.96E-05,2.3715,0.005308333,0.00040752,0.00081504,0.00081504,0.000199208
0.65,12.231,0.005391667,0.000420212,0.000102728,2.4462,0.005391667,0.000420212,0.000840424,0.000840424,0.000205456
0.66,12.598,0.005483333,0.000433036,0.000105864,2.5196,0.005483333,0.000433036,0.000866072,0.000866072,0.000211728
0.67,12.963,0.005558333,0.000446004,0.000109124,2.5926,0.005558333,0.000446004,0.000892008,0.000892008,0.000218248
0.68,13.333,0.005641667,0.000459148,0.000112596,2.6666,0.005641667,0.000459148,0.000918296,0.000918296,0.000225192
0.69,13.7125,0.005725,0.000472436,0.000116224,2.7425,0.005725,0.000472436,0.000944872,0.000944872,0.000232448
0.7,14.1045,0.005816667,0.000485796,0.000119948,2.8209,0.005816667,0.000485796,0.000971592,0.000971592,0.000239896
0.71,14.508,0.0059,0.000499184,0.000123688,2.9016,0.0059,0.000499184,0.000998368,0.000998368,0.000247376
0.72,14.9195,0.005975,0.00051266,0.000127424,2.9839,0.005975,0.00051266,0.00102532,0.00102532,0.000254848
0.73,15.333,0.006058333,0.0005262,0.00013098,3.0666,0.006058333,0.0005262,0.0010524,0.0010524,0.00026196
0.74,15.745,0.006141667,0.000539748,0.000134332,3.149,0.006141667,0.000539748,0.001079496,0.001079496,0.000268664
0.75,16.1505,0.006225,0.000553188,0.000137588,3.2301,0.006225,0.000553188,0.001106376,0.001106376,0.000275176
0.76,16.548,0.006316667,0.000566516,0.000140916,3.3096,0.006316667,0.000566516,0.001133032,0.001133032,0.000281832
0.77,16.939,0.006391667,0.000579736,0.00014438,3.3878,0.006391667,0.000579736,0.001159472,0.001159472,0.00028876
0.78,17.3275,0.006483333,0.000592832,0.000147992,3.4655,0.006483333,0.000592832,0.001185664,0.001185664,0.000295984
0.79,17.7175,0.006566667,0.000605756,0.00015172,3.5435,0.006566667,0.000605756,0.001211512,0.001211512,0.00030344
0.8,18.11,0.006641667,0.000618636,0.000155604,3.622,0.006641667,0.000618636,0.001237272,0.001237272,0.000311208
0.81,18.506,0.006725,0.000631584,0.000159664,3.7012,0.006725,0.000631584,0.001263168,0.001263168,0.000319328
0.82,18.9075,0.006808334,0.000644708,0.000163968,3.7815,0.006808334,0.000644708,0.001289416,0.001289416,0.000327936
0.83,19.313,0.0069,0.000658048,0.000168428,3.8626,0.0069,0.000658048,0.001316096,0.001316096,0.000336856
0.84,19.7225,0.006983333,0.000671608,0.000173,3.9445,0.006983333,0.000671608,0.001343216,0.001343216,0.000346
0.85,20.1355,0.007058334,0.000685308,0.000177652,4.0271,0.007058334,0.000685308,0.001370616,0.001370616,0.000355304
0.86,20.549,0.00715,0.000699092,0.00018234,4.1098,0.00715,0.000699092,0.001398184,0.001398184,0.00036468
0.87,20.962,0.007225,0.000712808,0.000187048,4.1924,0.007225,0.000712808,0.001425616,0.001425616,0.000374096
0.88,21.3725,0.007316667,0.000726412,0.000191724,4.2745,0.007316667,0.000726412,0.001452824,0.001452824,0.000383448
0.89,21.7845,0.0074,0.00073994,0.000196272,4.3569,0.0074,0.00073994,0.00147988,0.00147988,0.000392544
0.9,22.201,0.007475,0.000753536,0.000200652,4.4402,0.007475,0.000753536,0.001507072,0.001507072,0.000401304
0.91,22.624,0.007566667,0.000767232,0.00020486,4.5248,0.007566667,0.000767232,0.001534464,0.001534464,0.00040972
0.92,23.051,0.00765,0.000781044,0.00020892,4.6102,0.00765,0.000781044,0.001562088,0.001562088,0.00041784
