Simul_number,Time,A,c0,Mobility,k,Energy,c_mean
94,499.95,1.13,0.3,1,0.5,0.019443,0.3001
95,499.95,1.14,0.3,1,0.5,0.02188,0.2999
96,499.95,1.15,0.3,1,0.5,0.020605,0.3
97,499.95,1.16,0.3,1,0.5,0.01907,0.2999
98,499.95,1.17,0.3,1,0.5,0.020567,0.3
99,499.95,1.18,0.3,1,0.5,0.019577,0.2999
100,499.95,1.19,0.3,1,0.5,0.020777,0.2999
101,499.95,1.2,0.3,1,0.5,0.022375,0.3
102,499.95,0.2,0.35,1,0.5,0.009874,0.3501
103,499.95,0.21,0.35,1,0.5,0.009447,0.3499
104,499.95,0.22,0.35,1,0.5,0.009701,0.3498
105,499.95,0.23,0.35,1,0.5,0.009444,0.3499
106,499.95,0.24,0.35,1,0.5,0.009805,0.3499
107,499.95,0.25,0.35,1,0.5,0.010322,0.3499
108,499.95,0.26,0.35,1,0.5,0.010273,0.35
109,499.95,0.27,0.35,1,0.5,0.010606,0.35
110,499.95,0.28,0.35,1,0.5,0.010528,0.35
111,499.95,0.29,0.35,1,0.5,0.010778,0.3501
112,499.95,0.3,0.35,1,0.5,0.011437,0.3499
113,499.95,0.31,0.35,1,0.5,0.011599,0.3499
114,499.95,0.32,0.35,1,0.5,0.011215,0.35
115,499.95,0.33,0.35,1,0.5,0.011989,0.3499
116,499.95,0.34,0.35,1,0.5,0.012303,0.35
117,499.95,0.35,0.35,1,0.5,0.012333,0.3499
118,499.95,0.36,0.35,1,0.5,0.012676,0.3499
119,499.95,0.37,0.35,1,0.5,0.01274,0.3499
120,499.95,0.38,0.35,1,0.5,0.013141,0.35
121,499.95,0.39,0.35,1,0.5,0.013048,0.3499
122,499.95,0.4,0.35,1,0.5,0.013059,0.3499
123,499.95,0.41,0.35,1,0.5,0.013799,0.3502
124,499.95,0.42,0.35,1,0.5,0.013302,0.3501
125,499.95,0.43,0.35,1,0.5,0.013532,0.3502
126,499.95,0.44,0.35,1,0.5,0.01378,0.35
127,499.95,0.45,0.35,1,0.5,0.014501,0.3502
128,499.95,0.46,0.35,1,0.5,0.014317,0.3501
129,499.95,0.47,0.35,1,0.5,0.014323,0.35
130,499.95,0.48,0.35,1,0.5,0.014709,0.35
131,499.95,0.49,0.35,1,0.5,0.015011,0.35
132,499.95,0.5,0.35,1,0.5,0.01439,0.3501
133,499.95,0.51,0.35,1,0.5,0.014719,0.3501
134,499.95,0.52,0.35,1,0.5,0.015636,0.35
135,499.95,0.53,0.35,1,0.5,0.014701,0.35
136,499.95,0.54,0.35,1,0.5,0.015751,0.35
137,499.95,0.55,0.35,1,0.5,0.014866,0.35
138,499.95,0.56,0.35,1,0.5,0.013978,0.3501
139,499.95,0.57,0.35,1,0.5,0.015695,0.3499
140,499.95,0.58,0.35,1,0.5,0.016705,0.3501
141,499.95,0.59,0.35,1,0.5,0.015701,0.3499
142,499.95,0.6,0.35,1,0.5,0.015825,0.35
143,499.95,0.61,0.35,1,0.5,0.014934,0.3499
144,499.95,0.62,0.35,1,0.5,0.016276,0.35
145,499.95,0.63,0.35,1,0.5,0.016384,0.3499
146,499.95,0.64,0.35,1,0.5,0.01527,0.3501
147,499.95,0.65,0.35,1,0.5,0.016251,0.3501
148,499.95,0.66,0.35,1,0.5,0.016729,0.3501
149,499.95,0.67,0.35,1,0.5,0.016352,0.3499
150,499.95,0.68,0.35,1,0.5,0.016544,0.3499
151,499.95,0.69,0.35,1,0.5,0.01708,0.3499
152,499.95,0.7,0.35,1,0.5,0.017067,0.35
153,499.95,0.71,0.35,1,0.5,0.016714,0.3501
154,499.95,0.72,0.35,1,0.5,0.0155,0.3502
155,499.95,0.73,0.35,1,0.5,0.017703,0.3498
156,499.95,0.74,0.35,1,0.5,0.017771,0.3501
157,499.95,0.75,0.35,1,0.5,0.017499,0.3501
158,499.95,0.76,0.35,1,0.5,0.018781,0.3501
159,499.95,0.77,0.35,1,0.5,0.016714,0.35
160,499.95,0.78,0.35,1,0.5,0.017198,0.35
161,499.95,0.79,0.35,1,0.5,0.01822,0.35
162,499.95,0.8,0.35,1,0.5,0.018044,0.3499
163,499.95,0.81,0.35,1,0.5,0.017795,0.3501
164,499.95,0.82,0.35,1,0.5,0.01786,0.3499
165,499.95,0.83,0.35,1,0.5,0.019109,0.3501
166,499.95,0.84,0.35,1,0.5,0.017114,0.35
167,499.95,0.85,0.35,1,0.5,0.018321,0.3499
168,499.95,0.86,0.35,1,0.5,0.017965,0.35
169,499.95,0.87,0.35,1,0.5,0.018575,0.3501
170,499.95,0.88,0.35,1,0.5,0.019303,0.3501
171,499.95,0.89,0.35,1,0.5,0.019261,0.35
172,499.95,0.9,0.35,1,0.5,0.016883,0.3499
173,499.95,0.91,0.35,1,0.5,0.017032,0.35
174,499.95,0.92,0.35,1,0.5,0.019185,0.3502
175,499.95,0.93,0.35,1,0.5,0.020177,0.3499
176,499.95,0.94,0.35,1,0.5,0.019945,0.35
177,499.95,0.95,0.35,1,0.5,0.019764,0.3499
