TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	24/06/07
TIME	15:36:00
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-730, Rev. 1.00
RESOLUTION	
DELTAX	-0.2
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	700
LASTX	500
NPOINTS	1001
FIRSTY	0.262517
MAXY	1.80586
MINY	0.161481
XYDATA
700	0.262517
699.8	0.265539
699.6	0.268681
699.4	0.271775
699.2	0.274949
699	0.27827
698.8	0.281645
698.6	0.28503
698.4	0.288475
698.2	0.292061
698	0.295661
697.8	0.299363
697.6	0.303207
697.4	0.30701
697.2	0.310913
697	0.314981
696.8	0.319035
696.6	0.323111
696.4	0.327381
696.2	0.33176
696	0.336113
695.8	0.340618
695.6	0.345233
695.4	0.349877
695.2	0.354668
695	0.359577
694.8	0.364563
694.6	0.369684
694.4	0.374919
694.2	0.380192
694	0.385642
693.8	0.391263
693.6	0.396906
693.4	0.402661
693.2	0.408613
693	0.414636
692.8	0.420755
692.6	0.427042
692.4	0.4334
692.2	0.439851
692	0.44649
691.8	0.453207
691.6	0.460006
691.4	0.467004
691.2	0.474096
691	0.481288
690.8	0.488706
690.6	0.496231
690.4	0.503803
690.2	0.511533
690	0.519479
689.8	0.527549
689.6	0.535708
689.4	0.544067
689.2	0.552593
689	0.561198
688.8	0.569948
688.6	0.578878
688.4	0.587871
688.2	0.597048
688	0.606417
687.8	0.615886
687.6	0.625591
687.4	0.635409
687.2	0.645359
687	0.655572
686.8	0.665921
686.6	0.676366
686.4	0.686972
686.2	0.697758
686	0.708738
685.8	0.719855
685.6	0.731012
685.4	0.742372
685.2	0.753954
685	0.765643
684.8	0.777429
684.6	0.789365
684.4	0.801504
684.2	0.813767
684	0.826226
683.8	0.838946
683.6	0.851835
683.4	0.864694
683.2	0.87767
683	0.890915
682.8	0.904242
682.6	0.917537
682.4	0.930721
682.2	0.944031
682	0.957661
681.8	0.97144
681.6	0.9852
681.4	0.999019
681.2	1.01306
681	1.02706
680.8	1.04105
680.6	1.05522
680.4	1.06957
680.2	1.084
680	1.09834
679.8	1.11276
679.6	1.12733
679.4	1.14186
679.2	1.15625
679	1.17069
678.8	1.18519
678.6	1.19965
678.4	1.21394
678.2	1.22831
678	1.24299
677.8	1.25751
677.6	1.27171
677.4	1.28591
677.2	1.30033
677	1.31462
676.8	1.32868
676.6	1.34265
676.4	1.35676
676.2	1.37085
676	1.38459
675.8	1.39816
675.6	1.41176
675.4	1.42543
675.2	1.43887
675	1.45214
674.8	1.46529
674.6	1.47823
674.4	1.49096
674.2	1.50342
674	1.51577
673.8	1.52772
673.6	1.53926
673.4	1.55127
673.2	1.56312
673	1.57441
672.8	1.58543
672.6	1.59615
672.4	1.6065
672.2	1.61673
672	1.62699
671.8	1.63679
671.6	1.64629
671.4	1.65545
671.2	1.66425
671	1.67287
670.8	1.68155
670.6	1.68953
670.4	1.69738
670.2	1.7053
670	1.71255
669.8	1.71948
669.6	1.72632
669.4	1.73252
669.2	1.73842
669	1.7443
668.8	1.74955
668.6	1.75466
668.4	1.76016
668.2	1.76485
668	1.76907
667.8	1.77369
667.6	1.77767
667.4	1.78085
667.2	1.78392
667	1.78734
666.8	1.79029
666.6	1.7928
666.4	1.79515
666.2	1.7971
666	1.79876
665.8	1.80039
665.6	1.80186
665.4	1.80308
665.2	1.80392
665	1.80465
664.8	1.80556
664.6	1.80586
664.4	1.80549
664.2	1.80502
664	1.80482
663.8	1.80443
663.6	1.80362
663.4	1.80274
663.2	1.80157
663	1.80009
662.8	1.79872
662.6	1.79719
662.4	1.7955
662.2	1.79374
662	1.7917
661.8	1.78934
661.6	1.78684
661.4	1.78461
661.2	1.78211
661	1.77945
660.8	1.77671
660.6	1.77354
660.4	1.77041
660.2	1.76726
660	1.76401
659.8	1.76067
659.6	1.7574
659.4	1.75394
659.2	1.75043
659	1.74674
658.8	1.74286
658.6	1.73922
658.4	1.73545
658.2	1.73167
658	1.72786
657.8	1.72364
657.6	1.71907
657.4	1.71477
657.2	1.71103
657	1.70671
656.8	1.70231
656.6	1.69797
656.4	1.69352
