TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	24/06/07
TIME	15:33:00
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-730, Rev. 1.00
RESOLUTION	
DELTAX	-0.2
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	700
LASTX	500
NPOINTS	1001
FIRSTY	0.164104
MAXY	1.06762
MINY	0.117584
XYDATA
700	0.164104
699.8	0.165807
699.6	0.167586
699.4	0.169323
699.2	0.171078
699	0.172948
698.8	0.174852
698.6	0.17675
698.4	0.178724
698.2	0.180739
698	0.182777
697.8	0.184886
697.6	0.187041
697.4	0.189192
697.2	0.191422
697	0.193735
696.8	0.196006
696.6	0.198365
696.4	0.200835
696.2	0.203329
696	0.205819
695.8	0.20837
695.6	0.211016
695.4	0.2137
695.2	0.21646
695	0.219275
694.8	0.222158
694.6	0.225113
694.4	0.228097
694.2	0.231118
694	0.234255
693.8	0.237528
693.6	0.24079
693.4	0.244099
693.2	0.247531
693	0.250978
692.8	0.254489
692.6	0.258143
692.4	0.261819
692.2	0.265544
692	0.269394
691.8	0.273286
691.6	0.277214
691.4	0.281247
691.2	0.285378
691	0.289577
690.8	0.293894
690.6	0.29826
690.4	0.302643
690.2	0.307133
690	0.311764
689.8	0.316443
689.6	0.321185
689.4	0.326067
689.2	0.331007
689	0.336009
688.8	0.341143
688.6	0.346362
688.4	0.351614
688.2	0.356979
688	0.362433
687.8	0.367956
687.6	0.373611
687.4	0.379352
687.2	0.385221
687	0.391191
686.8	0.397237
686.6	0.403353
686.4	0.409543
686.2	0.41588
686	0.42232
685.8	0.428856
685.6	0.435392
685.4	0.442049
685.2	0.448919
685	0.455802
684.8	0.462668
684.6	0.469687
684.4	0.476829
684.2	0.484033
684	0.491384
683.8	0.498911
683.6	0.506513
683.4	0.51405
683.2	0.521674
683	0.529487
682.8	0.537303
682.6	0.545129
682.4	0.552965
682.2	0.560822
682	0.56886
681.8	0.576947
681.6	0.585011
681.4	0.593185
681.2	0.601446
681	0.609674
680.8	0.617899
680.6	0.626269
680.4	0.634805
680.2	0.643322
680	0.651785
679.8	0.660346
679.6	0.668939
679.4	0.677417
679.2	0.685897
679	0.694406
678.8	0.702953
678.6	0.711452
678.4	0.719891
678.2	0.728381
678	0.736993
677.8	0.745584
677.6	0.753946
677.4	0.762283
677.2	0.770687
677	0.779096
676.8	0.787437
676.6	0.795686
676.4	0.803981
676.2	0.812281
676	0.820393
675.8	0.828388
675.6	0.836397
675.4	0.844359
675.2	0.852232
675	0.86012
674.8	0.86795
674.6	0.875606
674.4	0.883085
674.2	0.890351
674	0.897591
673.8	0.904816
673.6	0.911846
673.4	0.918733
673.2	0.925574
673	0.932247
672.8	0.938725
672.6	0.94505
672.4	0.951176
672.2	0.957187
672	0.963195
671.8	0.969013
671.6	0.974526
671.4	0.980051
671.2	0.985404
671	0.99051
670.8	0.995492
670.6	1.00023
670.4	1.00489
670.2	1.00938
670	1.01355
669.8	1.01767
669.6	1.02165
669.4	1.02532
669.2	1.02886
669	1.03227
668.8	1.0355
668.6	1.03858
668.4	1.04156
668.2	1.04433
668	1.04682
667.8	1.04929
667.6	1.05161
667.4	1.05368
667.2	1.05563
667	1.05741
666.8	1.05905
666.6	1.06053
666.4	1.06188
666.2	1.06308
666	1.06413
665.8	1.06502
665.6	1.06579
665.4	1.06641
665.2	1.06682
665	1.06726
664.8	1.06755
664.6	1.06762
664.4	1.06761
664.2	1.06744
664	1.06718
663.8	1.06686
663.6	1.06637
663.4	1.06572
663.2	1.06501
663	1.06424
662.8	1.06334
662.6	1.06235
662.4	1.06125
662.2	1.06008
662	1.05882
661.8	1.05738
661.6	1.05602
661.4	1.05457
661.2	1.05286
661	1.05117
660.8	1.04946
660.6	1.04761
660.4	1.04572
660.2	1.04383
660	1.04185
659.8	1.03987
659.6	1.0378
659.4	1.03566
659.2	1.03355
659	1.03136
658.8	1.02909
658.6	1.02678
658.4	1.02441
658.2	1.02199
658	1.01959
657.8	1.01708
657.6	1.01454
657.4	1.01202
657.2	1.00941
657	1.0068
656.8	1.00429
656.6	1.00159
656.4	0.998848
