TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	24/06/07
TIME	15:53:00
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-730, Rev. 1.00
RESOLUTION	
DELTAX	-0.2
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	700
LASTX	500
NPOINTS	1001
FIRSTY	0.316157
MAXY	2.14685
MINY	0.185123
XYDATA
700	0.316157
699.8	0.319816
699.6	0.323649
699.4	0.327439
699.2	0.331268
699	0.335253
698.8	0.339281
698.6	0.343336
698.4	0.347559
698.2	0.351879
698	0.356213
697.8	0.360685
697.6	0.365263
697.4	0.369874
697.2	0.374578
697	0.379433
696.8	0.384316
696.6	0.389259
696.4	0.394414
696.2	0.399667
696	0.404899
695.8	0.41028
695.6	0.415833
695.4	0.421438
695.2	0.427147
695	0.433022
694.8	0.439047
694.6	0.44517
694.4	0.451366
694.2	0.457688
694	0.464248
693.8	0.470973
693.6	0.477689
693.4	0.484504
693.2	0.491595
693	0.498836
692.8	0.506128
692.6	0.513627
692.4	0.521236
692.2	0.528955
692	0.53685
691.8	0.54485
691.6	0.55301
691.4	0.561341
691.2	0.569793
691	0.578408
690.8	0.587242
690.6	0.596182
690.4	0.605184
690.2	0.614413
690	0.623931
689.8	0.633516
689.6	0.643208
689.4	0.65322
689.2	0.663364
689	0.673564
688.8	0.683978
688.6	0.694602
688.4	0.705312
688.2	0.716141
688	0.727237
687.8	0.738549
687.6	0.750038
687.4	0.761703
687.2	0.773567
687	0.785697
686.8	0.798036
686.6	0.810432
686.4	0.823002
686.2	0.835855
686	0.848976
685.8	0.862202
685.6	0.875398
685.4	0.888831
685.2	0.902615
685	0.916544
684.8	0.930444
684.6	0.944607
684.4	0.959071
684.2	0.973618
684	0.988368
683.8	1.00339
683.6	1.01863
683.4	1.03389
683.2	1.04928
683	1.06496
682.8	1.0807
682.6	1.0964
682.4	1.11212
682.2	1.128
682	1.14424
681.8	1.1605
681.6	1.17666
681.4	1.19301
681.2	1.2096
681	1.22639
680.8	1.24297
680.6	1.2597
680.4	1.27669
680.2	1.29368
680	1.31079
679.8	1.32772
679.6	1.34488
679.4	1.36216
679.2	1.37933
679	1.39643
678.8	1.41357
678.6	1.4308
678.4	1.44773
678.2	1.46466
678	1.48209
677.8	1.49927
677.6	1.51602
677.4	1.53269
677.2	1.54949
677	1.56608
676.8	1.58289
676.6	1.59997
676.4	1.61649
676.2	1.63302
676	1.64932
675.8	1.66543
675.6	1.68171
675.4	1.69768
675.2	1.71344
675	1.7293
674.8	1.74471
674.6	1.75958
674.4	1.77454
674.2	1.78954
674	1.80374
673.8	1.81815
673.6	1.8324
673.4	1.84616
673.2	1.86019
673	1.87311
672.8	1.88594
672.6	1.89902
672.4	1.91097
672.2	1.92318
672	1.9352
671.8	1.9464
671.6	1.95784
671.4	1.96893
671.2	1.9793
671	1.99015
670.8	1.99993
670.6	2.0091
670.4	2.019
670.2	2.02775
670	2.03589
669.8	2.04477
669.6	2.05306
669.4	2.0597
669.2	2.06661
669	2.07391
668.8	2.08066
668.6	2.08652
668.4	2.09247
668.2	2.09825
668	2.10313
667.8	2.10749
667.6	2.1119
667.4	2.11661
667.2	2.12135
667	2.12468
666.8	2.12729
666.6	2.13065
666.4	2.1337
666.2	2.13644
666	2.13855
665.8	2.14024
665.6	2.14233
665.4	2.1441
665.2	2.1439
665	2.14409
664.8	2.14463
664.6	2.1455
664.4	2.14685
664.2	2.14601
664	2.14512
663.8	2.14497
663.6	2.14447
663.4	2.14387
663.2	2.14291
663	2.14087
662.8	2.13838
662.6	2.13632
662.4	2.13476
662.2	2.13203
662	2.12939
661.8	2.12779
661.6	2.12505
661.4	2.12131
661.2	2.11889
661	2.11614
660.8	2.11249
660.6	2.1095
660.4	2.10621
660.2	2.10267
660	2.09906
659.8	2.0945
659.6	2.09064
659.4	2.08641
659.2	2.08194
659	2.07823
658.8	2.07419
658.6	2.06958
658.4	2.06501
658.2	2.06101
658	2.05613
657.8	2.0513
657.6	2.04706
657.4	2.04234
657.2	2.03707
657	2.03217
656.8	2.02715
656.6	2.02208
656.4	2.01647
